TEAM_ID,TEAM_NAME,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,PLAYER_NAMES,PTS_PER_MIN,AST_PER_MIN,TOV_PER_MIN,PACE
1610612752,New York Knicks,-1626157-1628384-1628969-1628973-1630540-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. McBride,13,7,6,0.538,91.405,84,164,0.512,37,80,0.463,45,54,0.833,21,45,66,59,28.0,14,4,250,10.0,"['K. Towns', 'O. Anunoby', 'M. Bridges', 'J. Brunson', 'M. McBride']",2.7350801378480387,0.6454789125321372,0.30632897543898036,102.27536786827855
1610612761,Toronto Raptors,-1627742-1630567-1630572-1642266-1642347-,B. Ingram - S. Barnes - S. Mamukelashvili - J. Walter - J. Shead,34,21,13,0.618,91.39,75,159,0.472,19,69,0.275,37,45,0.822,19,64,83,54,30.0,16,18,206,20.0,"['B. Ingram', 'S. Barnes', 'S. Mamukelashvili', 'J. Walter', 'J. Shead']",2.254075938286465,0.5908742750848014,0.328263486158223,99.68705547652917
1610612751,Brooklyn Nets,-1629008-1629651-1641730-1642856-1642962-,M. Porter Jr. - N. Claxton - N. Clowney - E. Dëmin - D. Powell,8,2,6,0.25,91.195,69,163,0.423,32,82,0.39,24,31,0.774,12,64,76,41,28.0,11,9,194,-2.0,"['M. Porter Jr.', 'N. Claxton', 'N. Clowney', 'E. Dëmin', 'D. Powell']",2.127309611272548,0.4495860518668787,0.30703437688469765,101.39503262240254
1610612759,San Antonio Spurs,-203084-1628368-1630170-1641705-1642264-,H. Barnes - D. Fox - D. Vassell - V. Wembanyama - S. Castle,16,11,5,0.688,90.835,80,163,0.491,26,72,0.361,51,58,0.879,12,77,89,59,21.0,13,14,237,49.0,"['H. Barnes', 'D. Fox', 'D. Vassell', 'V. Wembanyama', 'S. Castle']",2.6091264380470083,0.6495293664336435,0.23118841856112735,104.37562613530028
1610612766,Charlotte Hornets,-1628970-1630163-1631217-1642851-1642883-,M. Bridges - L. Ball - M. Diabaté - K. Knueppel - S. James,26,10,16,0.385,90.695,80,177,0.452,27,87,0.31,36,42,0.857,25,63,88,58,16.0,11,5,223,26.0,"['M. Bridges', 'L. Ball', 'M. Diabaté', 'K. Knueppel', 'S. James']",2.458790451513314,0.6395060367164673,0.1764154584045427,98.69386404983737
1610612764,Washington Wizards,-203114-203468-1641731-1642259-1642273-,K. Middleton - C. McCollum - B. Coulibaly - A. Sarr - K. George,6,1,5,0.167,90.318333,71,169,0.42,28,68,0.412,28,40,0.7,17,65,82,46,26.0,14,15,198,-24.0,"['K. Middleton', 'C. McCollum', 'B. Coulibaly', 'A. Sarr', 'K. George']",2.1922459529894116,0.5093096658460249,0.2878706806955793,103.9523171890252
1610612758,Sacramento Kings,-201566-201942-203471-203897-1627734-,R. Westbrook - D. DeRozan - D. Schröder - Z. LaVine - D. Sabonis,11,3,8,0.273,90.03,73,175,0.417,23,67,0.343,34,41,0.829,23,66,89,47,23.0,17,3,203,-33.0,"['R. Westbrook', 'D. DeRozan', 'D. Schröder', 'Z. LaVine', 'D. Sabonis']",2.2548039542374765,0.5220482061535043,0.2554703987559702,102.92035988003997
1610612758,Sacramento Kings,-201566-201942-203897-1631099-1642875-,R. Westbrook - D. DeRozan - Z. LaVine - K. Murray - M. Raynaud,11,3,8,0.273,89.82,95,176,0.54,21,47,0.447,23,31,0.742,15,67,82,59,27.0,16,9,234,14.0,"['R. Westbrook', 'D. DeRozan', 'Z. LaVine', 'K. Murray', 'M. Raynaud']",2.6052104208416837,0.6568692941438433,0.30060120240480964,107.75684702738812
1610612739,Cleveland Cavaliers,-1628378-1629631-1629636-1630596-1642281-,D. Mitchell - D. Hunter - D. Garland - E. Mobley - J. Tyson,8,4,4,0.5,89.385,74,171,0.433,29,90,0.322,35,45,0.778,21,57,78,50,23.0,12,6,212,-28.0,"['D. Mitchell', 'D. Hunter', 'D. Garland', 'E. Mobley', 'J. Tyson']",2.3717625999888123,0.5593779716954747,0.2573138669799183,103.53415002517201
1610612737,Atlanta Hawks,-1629638-1630168-1630552-1630557-1630700-,N. Alexander-Walker - O. Okongwu - J. Johnson - C. Kispert - D. Daniels,15,10,5,0.667,89.181667,87,171,0.509,30,72,0.417,27,34,0.794,16,63,79,65,26.0,15,6,231,4.0,"['N. Alexander', 'Walker', 'O. Okongwu', 'J. Johnson', 'C. Kispert', 'D. Daniels']",2.5902184582398533,0.7288493497211708,0.2915397398884683,105.4710044834663
